,STATE,POSTCODE,FIPS,STEMERG(start),CLSCHOOL(start),CLDAYCR(start),OPNCLDCR(end),CLNURSHM(start),STAYHOME(start),STAYHOMENOGP(start),END_STHM(end),CLBSNS(start),END_BSNS(end),RELIGEX(attribute),FM_ALL(start),FMFINE(attribute),FMCITE(attribute),FMNOENF(attribute),FM_EMP(start),FM_END(end),FM_STP(start),ALCOPEN(attribute),ALCREST(start),ALCDELIV(start),GUNOPEN(attribute),CLREST(start),ENDREST(end),RSTOUTDR(attribute),CLGYM(start),ENDGYM(end),CLMOVIE(start),END_MOV(end),CLOSEBAR(start),END_BRS(end),END_HAIR(end),END_RELG(end),ENDRETL(end),BCLBAR2(start),CLBAR2(start),CLMV2(start),CLGYM2(start),CLRST2(start),QRSOMEST(start),QR_ALLST(start),QR_END(end),EVICINTN(start),EVICINRESUME(end),EVICENF(start),EVICSTPTWO(start),EVICCOURTCL(start),EVICCOURTRE(end),EVICEND(end),RNTGP(start),UTILSO(start),UTILGAS_SO2(start),UTILGAS_END(end),UTILGAS_SO2.1(start),UTILELEC_SO(start),UTILELEC_END(end),UTILELEC_SO2(start),UTILWAT_SO(start),UTILWAT_END(end),UTILWAT_SO2(start),UTILTEL_SO(start),UTILTEL_END(end),UTILTEL_SO2(start),MORGFR(start),SNAPALLO(start),SNAPEBT(start),SNAPSUSP(start),SNAPTLW(attribute),MED1135W(start),ACAENROL(start),PREVTLHL(attribute),TLHLAUD(start),TLHLMED(start),CHIPLKOT(attribute),LKOTSUS(attribute),TESTMAR(attribute),TESTAPR(attribute),TESTMAY(attribute),TESTJUN(attribute),TESTAUG(attribute),CASEMAR(attribute),CASEAPR(attribute),CASEMAY(attribute),CASEJUN(attribute),CASEAUG(attribute),HOSPMAR(attribute),HOSPAPR(attribute),HOSPMAY(attribute),HOSPJUN(attribute),HOSPAUG(attribute),DEATHMAR(attribute),DEATHAPR(attribute),DEATHMAY(attribute),DEATHJUN(attribute),DEATHAUG(attribute),TST_AIANJUL(attribute),TST_AIANAUG(attribute),TST2_AIANJUL(attribute),TST2_AIANAUG(attribute),HOSPAIANJUL(attribute),HOSPAIANAUG(attribute),DTH_AIANJUL(attribute),DTH_AIANAUG(attribute),AIANRESN(attribute),VISITPER(start),VISITATT(start),VISITRES(end),NOCOPAY(attribute),NOPAYCOV(attribute),NOPAYALL(attribute),YESCOPAY(attribute),ELECPRCR(start),ENDELECP(attribute),WTPRD(attribute),WV_WTPRD(start),WV_WKSR(attribute),REI_WKSR(attribute),UIQUAR(attribute),UIHIRISK(attribute),UICLDCR(attribute),UIEXTND(attribute),UIMAXAMT(quantity),UIMAXEXT(quantity),UIMAXDUR(quantity),UIMAXCAR(quantity),LMABRN(note),TLHlBUPR(start),EXTOPFL(start),HMDLVOP(start),TLHLCL24(start),EXCEMORP(start),WVDEAREQ(start),PDSKLV(attribute),MEDEXP(attribute),POPDEN18(quantity),POP18(quantity),SQML(quantity),HMLS19(quantity),UNEMP18(quantity),POV18(quantity),RISKCOV(quantity),DEATH18(quantity),MH19(quantity),VBMEXC(attribute),VBMSIG(attribute),VBMPERM(attribute),VBMAUTOBAL(attribute),VBMAUTOAP(attribute),VBMGENELEC(date)
4,Alabama,AL,1,2020-03-13 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-05-23 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,0,2020-04-30 00:00:00,2020-03-28 00:00:00,2020-04-30 00:00:00,0,2020-07-16 00:00:00,0,0,1,2020-05-11 00:00:00,0,0,1,2020-03-24 00:00:00,2020-03-24 00:00:00,1,2020-03-19 00:00:00,2020-05-11 00:00:00,0,2020-03-28 00:00:00,2020-05-11 00:00:00,2020-03-28 00:00:00,2020-05-22 00:00:00,2020-03-19 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00,2020-04-30 00:00:00,0,0,0,0,0,0,0,0,0,2020-06-01 00:00:00,2020-04-03 00:00:00,0,0,0,2020-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-24 00:00:00,2020-04-21 00:00:00,0,0,2020-03-23 00:00:00,0,0,2020-03-22 00:00:00,2020-03-16 00:00:00,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,0,1,0,2020-03-19 00:00:00,2020-04-30 00:00:00,0,2020-03-16 00:00:00,1,1,1,0,0,0,275,875,20,39,1,0,0,0,2020-03-20 00:00:00,0,0,0,0,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,100.7,0,1,0,0,0,2020-10-29 00:00:00
5,Alaska,AK,2,2020-03-11 00:00:00,2020-03-16 00:00:00,0,0,0,2020-03-28 00:00:00,0,2020-04-24 00:00:00,2020-03-28 00:00:00,2020-04-24 00:00:00,0,2020-04-24 00:00:00,1,1,0,2020-04-24 00:00:00,2020-05-22 00:00:00,0,1,2020-03-17 00:00:00,2020-03-17 00:00:00,1,2020-03-18 00:00:00,2020-04-24 00:00:00,0,2020-03-18 00:00:00,2020-05-08 00:00:00,2020-03-18 00:00:00,2020-05-08 00:00:00,2020-03-18 00:00:00,2020-05-08 00:00:00,2020-04-24 00:00:00,2020-05-08 00:00:00,2020-04-24 00:00:00,0,0,0,0,0,0,2020-03-25 00:00:00,0,2020-03-23 00:00:00,2020-04-24 00:00:00,0,0,2020-03-23 00:00:00,2020-04-24 00:00:00,2020-07-01 00:00:00,0,2020-04-09 00:00:00,2020-04-09 00:00:00,0,0,2020-04-09 00:00:00,0,0,2020-04-09 00:00:00,0,0,2020-04-09 00:00:00,0,0,0,2020-04-01 00:00:00,2020-06-05 00:00:00,0,1,2020-04-02 00:00:00,0,0,2020-03-17 00:00:00,2020-03-20 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,1,0,0,2020-03-19 00:00:00,2020-04-20 00:00:00,0,2020-03-18 00:00:00,1,1,1,0,1,0,370,970,26,39,1,0,0,0,0,0,0,0,1,1.11,737438,665384,1907,6.8,10.9,32.8,4453,429.9,0,1,0,0,2,2020-10-24 00:00:00
6,Arizona,AZ,4,2020-03-11 00:00:00,2020-03-16 00:00:00,0,0,0,2020-03-31 00:00:00,0,2020-05-16 00:00:00,2020-03-30 00:00:00,2020-05-08 00:00:00,1,0,0,0,0,2020-05-08 00:00:00,0,2020-03-30 00:00:00,1,2020-03-19 00:00:00,2020-03-19 00:00:00,1,2020-03-20 00:00:00,2020-05-11 00:00:00,0,2020-03-20 00:00:00,2020-05-13 00:00:00,2020-03-20 00:00:00,2020-05-16 00:00:00,2020-03-20 00:00:00,2020-05-16 00:00:00,2020-05-08 00:00:00,0,2020-05-08 00:00:00,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-06-29 00:00:00,0,2020-04-09 00:00:00,0,2020-05-12 00:00:00,0,0,2020-03-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-01 00:00:00,2020-04-17 00:00:00,0,1,2020-03-23 00:00:00,0,0,2020-03-25 00:00:00,2020-03-25 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,1,0,0,2020-03-21 00:00:00,2020-05-01 00:00:00,0,2020-03-20 00:00:00,1,1,1,1,1,0,240,840,26,39,0,0,0,0,0,2020-03-11 00:00:00,0,1,1,62.91,7171646,113990,10007,5.4,14,39.1,59282,132.9,0,0,0,0,0,2020-10-23 00:00:00
7,Arkansas,AR,5,2020-03-11 00:00:00,2020-03-17 00:00:00,0,0,2020-03-13 00:00:00,0,0,0,2020-04-04 00:00:00,2020-05-04 00:00:00,0,2020-07-20 00:00:00,1,1,0,2020-05-11 00:00:00,0,0,1,2020-03-19 00:00:00,2020-03-19 00:00:00,1,2020-03-19 00:00:00,2020-05-11 00:00:00,0,2020-03-20 00:00:00,2020-05-04 00:00:00,2020-03-20 00:00:00,2020-05-18 00:00:00,2020-03-19 00:00:00,2020-05-19 00:00:00,2020-05-06 00:00:00,0,2020-05-18 00:00:00,0,0,0,0,0,2020-05-05 00:00:00,0,2020-06-15 00:00:00,0,0,0,0,0,0,0,0,2020-04-10 00:00:00,2020-04-10 00:00:00,0,0,2020-04-10 00:00:00,0,0,2020-04-10 00:00:00,0,0,0,0,0,0,2020-03-24 00:00:00,2020-05-21 00:00:00,0,0,2020-04-02 00:00:00,0,0,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,2020-03-16 00:00:00,2020-03-16 00:00:00,0,0,1,0,0,2020-04-03 00:00:00,2020-04-27 00:00:00,0,2020-03-17 00:00:00,1,1,1,0,0,0,451,1051,16,33,1,0,0,0,0,0,0,0,1,56.67,3013825,53179,2717,4.5,17.2,43.5,32336,231.6,0,0,0,0,0,2020-10-27 00:00:00
8,California,CA,6,2020-03-04 00:00:00,0,0,0,0,2020-03-19 00:00:00,0,0,2020-03-19 00:00:00,2020-05-08 00:00:00,0,2020-06-18 00:00:00,0,0,1,2020-05-05 00:00:00,0,0,1,2020-03-19 00:00:00,2020-03-19 00:00:00,0,2020-03-19 00:00:00,2020-05-18 00:00:00,0,2020-03-19 00:00:00,0,2020-03-19 00:00:00,0,2020-03-16 00:00:00,0,2020-08-28 00:00:00,2020-05-25 00:00:00,2020-05-08 00:00:00,0,0,2020-07-13 00:00:00,0,2020-07-13 00:00:00,0,0,0,0,2020-05-31 00:00:00,2020-03-27 00:00:00,0,0,0,0,0,2020-03-17 00:00:00,2020-03-17 00:00:00,0,0,2020-03-17 00:00:00,0,0,2020-03-17 00:00:00,0,0,2020-03-17 00:00:00,0,0,0,2020-03-30 00:00:00,2020-04-23 00:00:00,0,1,2020-03-23 00:00:00,2020-03-20 00:00:00,0,2020-03-30 00:00:00,2020-03-18 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2020-03-11 00:00:00,2020-04-08 00:00:00,0,1,0,0,0,2020-03-19 00:00:00,2020-04-22 00:00:00,0,2020-03-12 00:00:00,1,1,1,1,0,0,450,1050,26,39,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,356.2,0,0,0,1,0,0
9,Colorado,CO,8,2020-03-11 00:00:00,2020-03-23 00:00:00,0,0,2020-03-12 00:00:00,2020-03-26 00:00:00,0,2020-04-27 00:00:00,2020-03-26 00:00:00,2020-05-01 00:00:00,1,2020-07-16 00:00:00,0,0,0,2020-04-23 00:00:00,0,0,1,2020-03-20 00:00:00,2020-03-20 00:00:00,1,2020-03-17 00:00:00,2020-05-27 00:00:00,0,2020-03-17 00:00:00,2020-06-04 00:00:00,2020-03-17 00:00:00,2020-06-18 00:00:00,2020-03-17 00:00:00,2020-06-18 00:00:00,2020-05-01 00:00:00,2020-06-04 00:00:00,2020-05-01 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,0,0,0,0,0,0,2020-04-30 00:00:00,2020-06-13 00:00:00,2020-04-30 00:00:00,0,0,0,2020-06-14 00:00:00,0,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-06-13 00:00:00,0,2020-03-20 00:00:00,2020-06-13 00:00:00,0,2020-03-20 00:00:00,2020-06-13 00:00:00,0,0,0,0,0,2020-04-01 00:00:00,2020-05-16 00:00:00,2020-04-10 00:00:00,1,2020-03-26 00:00:00,2020-03-20 00:00:00,0,2020-04-01 00:00:00,2020-03-20 00:00:00,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2020-03-11 00:00:00,0,0,0,1,0,0,2020-03-23 00:00:00,2020-04-27 00:00:00,0,2020-03-20 00:00:00,1,2,0,0,0,0,618,1218,26,39,0,0,0,0,0,0,0,0,1,54.72,5695564,104094,9619,3.9,9.6,31.3,38526,356.4,0,0,1,0,0,0
10,Connecticut,CT,9,2020-03-10 00:00:00,2020-03-17 00:00:00,0,0,2020-03-09 00:00:00,0,2020-03-23 00:00:00,2020-05-20 00:00:00,2020-03-23 00:00:00,2020-05-20 00:00:00,0,2020-04-20 00:00:00,0,0,1,2020-04-03 00:00:00,0,0,1,2020-03-19 00:00:00,2020-04-24 00:00:00,1,2020-03-16 00:00:00,2020-05-20 00:00:00,1,2020-03-16 00:00:00,2020-06-17 00:00:00,2020-03-16 00:00:00,2020-06-17 00:00:00,2020-03-16 00:00:00,0,2020-06-01 00:00:00,2020-05-29 00:00:00,2020-05-20 00:00:00,0,0,0,0,0,2020-06-25 00:00:00,0,0,2020-04-10 00:00:00,0,2020-03-20 00:00:00,0,2020-03-16 00:00:00,0,0,2020-04-10 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,0,0,2020-03-12 00:00:00,0,0,2020-03-12 00:00:00,0,0,0,0,0,0,2020-03-28 00:00:00,2020-04-24 00:00:00,2020-04-02 00:00:00,1,2020-03-27 00:00:00,2020-03-19 00:00:00,0,2020-03-19 00:00:00,2020-03-18 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2020-03-13 00:00:00,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,649,1249,26,39,0,0,0,0,0,0,0,1,1,644.54,3572665,5543,3033,5.5,10.4,36,31230,396.9,0,0,0,0,1,2020-11-02 00:00:00
11,Delaware,DE,10,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-04-06 00:00:00,2020-06-15 00:00:00,0,2020-03-24 00:00:00,0,2020-06-01 00:00:00,2020-03-24 00:00:00,2020-05-08 00:00:00,1,2020-04-28 00:00:00,1,1,0,2020-05-01 00:00:00,0,0,1,2020-03-18 00:00:00,0,1,2020-03-16 00:00:00,2020-06-01 00:00:00,0,2020-03-19 00:00:00,2020-06-01 00:00:00,2020-03-19 00:00:00,2020-06-01 00:00:00,2020-03-16 00:00:00,2020-06-15 00:00:00,2020-06-08 00:00:00,2020-05-20 00:00:00,2020-05-20 00:00:00,2020-07-03 00:00:00,0,0,0,0,0,2020-03-30 00:00:00,2020-06-01 00:00:00,2020-03-17 00:00:00,2020-07-01 00:00:00,2020-03-25 00:00:00,0,0,0,2020-07-01 00:00:00,0,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-07-01 00:00:00,0,2020-03-24 00:00:00,2020-07-01 00:00:00,0,2020-03-24 00:00:00,2020-07-01 00:00:00,0,2020-03-24 00:00:00,2020-07-01 00:00:00,0,0,2020-03-26 00:00:00,2020-04-30 00:00:00,2020-04-13 00:00:00,0,2020-03-27 00:00:00,0,1,2020-01-01 00:00:00,2020-03-18 00:00:00,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,2020-03-12 00:00:00,0,2020-09-01 00:00:00,0,1,0,0,0,2020-05-20 00:00:00,0,1,1,1,0,0,1,0,400,1000,26,39,0,0,0,0,0,0,0,0,1,388.58,967171,2489,921,5.7,12.5,41.3,9433,262.6,0,0,0,0,1,2020-11-02 00:00:00
12,District of Columbia,DC,11,2020-03-11 00:00:00,2020-03-16 00:00:00,0,0,0,2020-04-01 00:00:00,0,2020-05-29 00:00:00,2020-03-25 00:00:00,2020-05-29 00:00:00,0,2020-04-17 00:00:00,1,0,0,2020-04-15 00:00:00,0,0,1,2020-03-17 00:00:00,2020-03-17 00:00:00,0,2020-03-16 00:00:00,2020-05-29 00:00:00,1,2020-03-17 00:00:00,2020-06-22 00:00:00,2020-03-17 00:00:00,2020-06-22 00:00:00,2020-03-16 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-06-22 00:00:00,2020-06-22 00:00:00,0,0,0,0,0,2020-07-27 00:00:00,0,0,0,2020-06-19 00:00:00,2020-03-17 00:00:00,0,2020-03-15 00:00:00,2020-06-19 00:00:00,0,0,2020-03-11 00:00:00,2020-03-11 00:00:00,0,0,2020-03-11 00:00:00,0,0,2020-03-11 00:00:00,0,0,2020-03-11 00:00:00,0,0,0,2020-04-01 00:00:00,2020-05-19 00:00:00,0,1,2020-04-03 00:00:00,2020-04-06 00:00:00,0,2020-03-19 00:00:00,2020-03-12 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2020-03-15 00:00:00,2020-03-15 00:00:00,0,1,0,0,0,0,0,0,2020-03-17 00:00:00,1,1,1,0,0,0,444,1044,26,39,0,0,0,0,0,0,0,1,1,11496.81,702455,61.1,6521,7.5,16.2,31.8,5008,508.6,0,0,0,1,0,0
13,Florida,FL,12,2020-03-09 00:00:00,2020-03-17 00:00:00,0,0,2020-03-15 00:00:00,2020-04-03 00:00:00,0,2020-05-18 00:00:00,2020-03-20 00:00:00,2020-05-18 00:00:00,1,0,0,0,0,2020-05-11 00:00:00,0,0,1,2020-03-20 00:00:00,2020-03-20 00:00:00,1,2020-03-20 00:00:00,2020-05-18 00:00:00,0,2020-03-20 00:00:00,2020-05-18 00:00:00,2020-03-20 00:00:00,2020-06-05 00:00:00,2020-03-17 00:00:00,2020-06-05 00:00:00,2020-05-11 00:00:00,0,2020-05-18 00:00:00,2020-06-26 00:00:00,2020-06-26 00:00:00,0,0,0,2020-03-24 00:00:00,0,2020-08-05 00:00:00,2020-04-02 00:00:00,0,2020-04-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-30 00:00:00,2020-05-27 00:00:00,0,0,2020-03-16 00:00:00,0,0,0,2020-03-18 00:00:00,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2020-03-11 00:00:00,0,0,0,1,0,0,2020-03-20 00:00:00,2020-05-04 00:00:00,0,2020-03-31 00:00:00,1,1,1,0,0,0,275,875,12,25,0,0,0,0,0,0,0,0,0,323.9,21299325,65758,28328,5.2,13.6,42.1,205426,160.5,0,0,0,0,0,2020-10-24 00:00:00
